code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
03,Allier,Domaine de Chazoux,domaine-de-chazoux,Gannat,,facile,T1,~105,3,1h06,,,,,46.11106005,3.16417295
63,Puy-de-Dôme,Le Chateau de Ligondes,le-chateau-de-ligondes,Château-sur-Cher,,facile,T1,~260,13,4h07,,,,,46.13238575,2.5576513
63,Puy-de-Dôme,Le Puy de Montoncel,le-puy-de-montoncel,Saint-Victor-Montvianeix,,modere,T2,~455,13,4h46,,,,,45.9313921,3.6704324
03,Allier,Tour du plan d'eau de Saint-Clément,tour-du-plan-deau-de-saint-clement,Le Mayet-de-Montagne,,facile,T1,~175,5,1h50,,,,,46.081742750000004,3.6905269499999998
04,Alpes-de-Haute-Provence,Sentier du Bastidon,sentier-du-bastidon,La Palud-sur-Verdon,,difficile,T3,870,15.7,6h49,,,,,43.77538505,6.31090125
04,Alpes-de-Haute-Provence,Le Sommet du Cousson,le-sommet-du-cousson,Entrages,,difficile,T3,883,12,5h57,,,,,44.05548045,6.250292249999999
04,Alpes-de-Haute-Provence,Le Grès d'Annot,le-gres-dannot,Annot,,modere,T2,416,6,2h53,,,,,43.96462345,6.6770942
04,Alpes-de-Haute-Provence,Belvédère du Pidanoux,belvedere-du-pidanoux,Saint-Julien-du-Verdon,,modere,T2,318,8,3h04,,,,,43.92400645,6.5390613
04,Alpes-de-Haute-Provence,Château plus Haut,chateau-plus-haut,Chaudon-Norante,,modere,T2,487,10,4h07,,,,,43.985844,6.34197435
04,Alpes-de-Haute-Provence,Lac d'Esparron-de-Verdon - sentier du garde-canal,lac-desparron-de-verdon---sentier-du-garde-canal,Esparron-de-Verdon,,facile,T1,198,8.5,2h47,,,,,43.73054755,5.9510783499999995
04,Alpes-de-Haute-Provence,Crête de la Colle,crete-de-la-colle,Piégut,,modere,T2,390,7,3h03,,,,,44.443914899999996,6.1220911000000005
04,Alpes-de-Haute-Provence,Trail Montée de l'Estrop,trail-montee-de-lestrop,Prads-Haute-Bléone,,difficile,T4,1810,12.6,9h11,,,,,44.2639492,6.501804249999999
04,Alpes-de-Haute-Provence,Sommet du Blayeul,sommet-du-blayeul,Verdaches,,difficile,T3,1101,11.5,6h33,,,,,44.256375750000004,6.33019875
04,Alpes-de-Haute-Provence,Baou de Parou,baou-de-parou,Annot,,modere,T2,399,5,2h35,,,,,43.97349185,6.6675981
05,Hautes-Alpes,Boucle du Pigeonnier dans le cirque du Gioberney,boucle-du-pigeonnier-dans-le-cirque-du-gioberney,La Chapelle-en-Valgaudémar,,difficile,T3,821,9.5,5h07,,,,,44.850327449999995,6.2856076000000005
05,Hautes-Alpes,Le Tour de Guizière,le-tour-de-guiziere,Gap,,modere,T2,573,7.1,3h41,,,,,44.60010645,6.0519646
05,Hautes-Alpes,Puy Cervier,puy-cervier,Valserres,,modere,T2,594,13,5h14,,,,,44.502671649999996,6.1387824
05,Hautes-Alpes,Le Saut du Laire,le-saut-du-laire,Orcières,,modere,T2,415,9.1,3h39,,,,,44.67965595,6.3802947
